x3, x4
-5.784599406986385972e+00,3.672194462442353036e-01
2.721821411647582067e+00,1.358629050855912457e+00
3.886881760582761469e+00,2.392891280550753577e-02
4.432764182343974291e+00,-7.395629061625952350e-01
4.327487746889960185e+00,-5.256399050450569765e-01
4.789262344245045711e+00,-2.076582719817836042e-01
-3.620678044071706569e+00,-1.626029799115197738e+00
-3.030461349166044371e+00,-5.981920168348524303e-02
3.662327155867892703e+00,-4.852204854631264608e-01
-1.309803650260834118e+00,1.632192203981847611e-01
-1.338800088861318738e+00,1.216943335469605619e-01
3.800999134177685423e+00,1.029450058045306982e+00
1.608994485386741724e+00,-7.754103830733269920e-01
-4.340112448137718459e+00,-2.954973367993448119e-01
-2.525580620310940105e+00,-3.943593151628683735e-01
1.057851963658854144e+00,3.675542700372796401e-01
3.989381425614822785e+00,6.319921019116779837e-01
-4.232867268592269028e+00,6.956633924627813048e-01
4.749229757592437373e+00,-1.318300651726386219e+00
-1.091384229440178899e+01,-2.914744789849395001e-01
2.361094637867305890e-01,-6.241850051388673215e-01
-4.569342943944169733e+00,6.141576518965478071e-01
-4.790204855625157521e+00,-7.197384339013799259e-01
-2.869469448869049977e+00,-9.426415584173746254e-01
1.066108097300023694e+01,3.756028223683346989e-01
7.092935323821882854e+00,1.281579697818334418e-01
3.043796114647882689e+00,1.053569082851704586e+00
-1.301695725554741001e+00,-1.407257020728553965e+00
1.787801818780158980e+00,-2.469033048215064086e-01
1.736547173581540093e+00,-8.927224702566975700e-02
-7.276670509252972430e+00,-4.563383306029396014e-01
-1.564519532456252637e+00,6.558892865234640102e-01
1.397745197484447477e+00,-4.926101745924419961e-01
-5.022988173787997113e+00,-1.515416590798136509e+00
-3.104567486573980517e+00,-2.723513798769556793e-01
-3.441395924196676503e+00,4.860432213856876738e-01
8.878863734016542608e+00,-1.907472642645243951e-02
-4.069592430191517174e+00,-4.607542254005101423e-01
-1.347757811622279700e+00,9.081608120464333966e-01
1.172680226856458319e+01,3.860646972198861770e-01
5.377191287675302078e+00,5.871186693078429553e-01
6.140947998544973530e+00,-7.508877322021394463e-01
-1.332411455884601459e+01,-3.492732969060669546e-01
-6.666106848282025155e+00,-5.418866228164179732e-01
1.609934689476651082e+00,-4.431144655474262839e-01
-3.024707763090012769e+00,-1.554759753026357938e+00
-9.525967711983209796e+00,-1.089388985185191672e+00
1.241637830192111158e+00,8.787236673346928706e-01
3.073393482881559002e+00,-3.080841460276640964e-01
-5.037005038406900947e-01,1.467387334462820103e+00
1.054958672689935106e+01,2.420895190276348252e+00
-5.482282870123468044e+00,1.670103894869758632e+00
-3.150906173138980026e+00,-7.654992216433794683e-01
-3.285159696323333822e+00,-8.819985617558110391e-01
7.720830091444765841e+00,-1.128423574323432321e+00
1.626128462886165416e+00,1.604207333221955967e+00
-3.248760356411423800e+00,1.056578680803935244e+00
-3.508222941993773603e+00,-4.582867334685413185e-01
-9.582672143718475866e+00,9.198080760781404686e-02
3.337788618515324934e+00,1.873226926931218284e+00
1.980429155426490340e+00,6.800093640739065526e-01
-4.833847086088948863e+00,-1.698308708074232065e-01
-2.795181585154858261e+00,-1.975708574544735141e+00
-4.069088222617340378e+00,-9.395475108706645706e-01
3.054987411579785928e+00,2.079232502483123746e-01
-7.261039267511383954e+00,9.397893363673349709e-01
6.303889505975740271e+00,-1.345337516566858627e+00
-6.398515929203495212e+00,1.326576762575437662e-01
9.996841677124733039e+00,5.917787451309903801e-01
-8.071766412056756934e+00,1.018241314819282373e+00
1.801639004887781059e+00,-1.403947651306573230e-01
3.460007774507602107e+00,-7.894911909453867782e-01
3.101485476369834071e+00,2.432097574134419460e-01
-8.848485673377451732e+00,-3.344494536930459616e-01
2.253172428616464718e+00,1.177165884290333864e+00
